Nanoparticle Volume (%),Flexural Modulus (GPa)
1,5.669808781089528,
3,5.748594624541258,
10,5.084116152570177,
11,5.089305335292057,
18,4.904935934970166,
1,5.421361824026069,
3,8.045453487232123,
10,17.725438598210946,
11,38.89111147736699,
18,540.1449590199426,
1,5.114682408188069,
3,5.0344627983469605,
10,4.667194341541916,
11,4.5620721608765065,
18,4.445130527036444,
1,-5.870225008085074,
3,-4.632560742424815,
10,32.55655006168689,
11,30.576160595514978,
18,173.50734424332455,
