Calcination Temperature (°C),X-ray Diffraction Intensity
12.120105874687688,29.718224134467867,zirconium dioxide/Poly(propylene)
12.56559691050615,45.081270630477505,zirconium dioxide/Poly(propylene)
15.289507874185482,40.7618139130355,zirconium dioxide/Poly(propylene)
12.120105874687688,9.23832198969812,talc/Poly(propylene)
12.56559691050615,27.09821408051026,talc/Poly(propylene)
15.289507874185482,-76.21160006108391,talc/Poly(propylene)
12.120105874687688,10.042772628340344,ZrO2/Poly(propylene)
12.56559691050615,2.5623105271616615,ZrO2/Poly(propylene)
15.289507874185482,13.792730791494833,ZrO2/Poly(propylene)
12.120105874687688,-3.080782091887185,aluminum/Poly(propylene)
12.56559691050615,-3.1214759157051377,aluminum/Poly(propylene)
15.289507874185482,-3.1510001763596893,aluminum/Poly(propylene)
12.120105874687688,-2.6941805775388428,Bentonite/Poly(propylene)
12.56559691050615,-3.0246017515842167,Bentonite/Poly(propylene)
15.289507874185482,-6.0758999675288266,Bentonite/Poly(propylene)
