wt%,Bond Strength (MPa)
5.129344327487275,3.706969098613995,Calcium copper titanate/Nylon 6-6
9.488855730046023,3.5386781678800223,Calcium copper titanate/Nylon 6-6
10.164593207477608,3.437184262261625,Calcium copper titanate/Nylon 6-6
10.213137046666665,3.4645901022182697,Calcium copper titanate/Nylon 6-6
17.78488670966133,3.287071645712767,Calcium copper titanate/Nylon 6-6
5.129344327487275,6.282038597165391,PbS/Nylon 6-6
9.488855730046023,6.165800636928751,PbS/Nylon 6-6
10.164593207477608,6.144813691345336,PbS/Nylon 6-6
10.213137046666665,6.142183199047622,PbS/Nylon 6-6
17.78488670966133,6.105487241055621,PbS/Nylon 6-6
5.129344327487275,-2.9371137578975572,Carbon black/Nylon 6-6
9.488855730046023,-3.2035131256367038,Carbon black/Nylon 6-6
10.164593207477608,-3.214509739696031,Carbon black/Nylon 6-6
10.213137046666665,-3.269030904827278,Carbon black/Nylon 6-6
17.78488670966133,-3.401493509690263,Carbon black/Nylon 6-6
5.129344327487275,3.5894997533197994,carbon nanofibers/Nylon 6-6
9.488855730046023,3.417009154150881,carbon nanofibers/Nylon 6-6
10.164593207477608,3.4050730642552853,carbon nanofibers/Nylon 6-6
10.213137046666665,3.4013462632285067,carbon nanofibers/Nylon 6-6
17.78488670966133,3.3668479910456415,carbon nanofibers/Nylon 6-6
5.129344327487275,-2.5096908663280173,SiO2/Nylon 6-6
9.488855730046023,-0.6107818528213618,SiO2/Nylon 6-6
10.164593207477608,0.6717852646171973,SiO2/Nylon 6-6
10.213137046666665,-0.9829334198112782,SiO2/Nylon 6-6
17.78488670966133,-5.1252134435435845,SiO2/Nylon 6-6
