Dispersing Time (min),Thermal Resistance (K/W)
2,8.785316083211349,Carbon Black/CNBR
7,8.727556721672176,Carbon Black/CNBR
10,10.378619481330011,Carbon Black/CNBR
11,8.240108138240796,Carbon Black/CNBR
14,9.334353887847046,Carbon Black/CNBR
17,16.378290256337184,Carbon Black/CNBR
2,0.10674399998261874,expandable graphite/CNBR
7,-0.3976433435399923,expandable graphite/CNBR
10,-0.47701302648719796,expandable graphite/CNBR
11,-0.4852931752680438,expandable graphite/CNBR
14,-0.5093882048810984,expandable graphite/CNBR
17,-0.5190842653701568,expandable graphite/CNBR
2,5.085197523779505,cellulose nanowhiskers/CNBR
7,6.9169712973965645,cellulose nanowhiskers/CNBR
10,6.42856295631233,cellulose nanowhiskers/CNBR
11,5.157221402133386,cellulose nanowhiskers/CNBR
14,9.11936014230768,cellulose nanowhiskers/CNBR
17,22.12462981409823,cellulose nanowhiskers/CNBR
2,9.208476986319043,Molybdenum disulfide/CNBR
7,10.359326475519087,Molybdenum disulfide/CNBR
10,13.5801490612251,Molybdenum disulfide/CNBR
11,9.734373094605626,Molybdenum disulfide/CNBR
14,20.005755330953946,Molybdenum disulfide/CNBR
17,9.713624860860708,Molybdenum disulfide/CNBR
2,1.643424838298196,Graphite oxide/CNBR
7,1.3275352720252585,Graphite oxide/CNBR
10,1.2327774414810722,Graphite oxide/CNBR
11,1.1846035921218026,Graphite oxide/CNBR
14,1.1033943405190574,Graphite oxide/CNBR
17,1.0471147543393953,Graphite oxide/CNBR
