Rotational Speed (rpm),Thermal Diffusivity (mm²/s)
0.4919462236158201,4.272666937985503,PBD
2.794756414714308,4.701621958173939,PBD
19.96990031875896,5.29819586117666,PBD
0.4919462236158201,-6.4272550450661345,DGEBF Epoxy Resin
2.794756414714308,-5.410830756189949,DGEBF Epoxy Resin
19.96990031875896,273.0523405656072,DGEBF Epoxy Resin
0.4919462236158201,-2.7358042663830524,Thermoplastic polyurethane
2.794756414714308,-2.6345245756293556,Thermoplastic polyurethane
19.96990031875896,-3.4632607504660915,Thermoplastic polyurethane
0.4919462236158201,6.606893610340775,Poly(propylene)
2.794756414714308,7.937613116323156,Poly(propylene)
19.96990031875896,-92.56256924494359,Poly(propylene)
