Particle Size (nm),Shear Strength (MPa)
4.7920244811864166,-2.3989939997352017,SWNT/DGEBD
5.299584119765727,1.9034285353344274,SWNT/DGEBD
10.128377846561769,14.79709095365238,SWNT/DGEBD
12.4538086098654,94.82968237524398,SWNT/DGEBD
12.994088509189224,113.40913100951778,SWNT/DGEBD
16.82518056588489,-9.80922594414772,SWNT/DGEBD
4.7920244811864166,-5.124260501729369,Gold/DGEBD
5.299584119765727,-5.38957406114368,Gold/DGEBD
10.128377846561769,-3.006213764935958,Gold/DGEBD
12.4538086098654,-1.1102728788655423,Gold/DGEBD
12.994088509189224,-3.5895395881106733,Gold/DGEBD
16.82518056588489,12.189983446341486,Gold/DGEBD
4.7920244811864166,3.56196894767257,Sepiolite/DGEBD
5.299584119765727,3.489061406951091,Sepiolite/DGEBD
10.128377846561769,3.3666017613461388,Sepiolite/DGEBD
12.4538086098654,3.3397330191516925,Sepiolite/DGEBD
12.994088509189224,3.336558669086725,Sepiolite/DGEBD
16.82518056588489,3.3240413569520495,Sepiolite/DGEBD
