Specific Heat Capacity (J/(g·K)),Shear Viscosity (Pa·s)
1.4865184743859872,4.597513813049327,0.47% BaTiO3/PETE
5.962775501027351,5.69349804036479,0.47% BaTiO3/PETE
6.361945783974536,5.538129833671378,0.47% BaTiO3/PETE
9.668887242985,4.271732138058641,0.47% BaTiO3/PETE
14.067547444973911,7.577845898014423,0.47% BaTiO3/PETE
16.599459525425434,-2.649700322471295,0.47% BaTiO3/PETE
1.4865184743859872,-3.840420453725274,0.58% BaTiO3/PETE
5.962775501027351,-3.736743360736529,0.58% BaTiO3/PETE
6.361945783974536,-3.793317568040217,0.58% BaTiO3/PETE
9.668887242985,-1.45190843705333,0.58% BaTiO3/PETE
14.067547444973911,-5.278559218000937,0.58% BaTiO3/PETE
16.599459525425434,-0.050040254162219355,0.58% BaTiO3/PETE
1.4865184743859872,-1.6923581461857182,0.13% BaTiO3/PETE
5.962775501027351,3.860905897756651,0.13% BaTiO3/PETE
6.361945783974536,2.2625204382404647,0.13% BaTiO3/PETE
9.668887242985,11.666841382038738,0.13% BaTiO3/PETE
14.067547444973911,137.76253713858162,0.13% BaTiO3/PETE
16.599459525425434,-88.46542233014777,0.13% BaTiO3/PETE
1.4865184743859872,-5.112116602531804,0.29% BaTiO3/PETE
5.962775501027351,-3.8461160640804772,0.29% BaTiO3/PETE
6.361945783974536,-3.9421910309108643,0.29% BaTiO3/PETE
9.668887242985,-1.8159572595509843,0.29% BaTiO3/PETE
14.067547444973911,1.9257140007542226,0.29% BaTiO3/PETE
16.599459525425434,-4.704996429983519,0.29% BaTiO3/PETE
