Surfactant Concentration (M),Tensile Modulus (GPa)
0.3780482262310825,0.4247474211742368,
15.035723102191255,-0.368838133607586,
16.653425145241567,-0.40533927696964944,
18.992563230321647,-0.4372388977220354,
2.8433344268512495,-1.5978057597870028,
12.165972422945494,1.0506769715744446,
13.949553095800788,15.253030621357839,
15.374829362874763,7.603585119617529,
1.0614778627626564,3.6633321941753394,
1.5621484340962666,3.8061469528328704,
2.144577181635503,4.551251501735118,
10.681535960640714,29.48970217798179,
