Specific Surface Area (m²/g),Fatigue Strength (MPa)
5.684266059696994,5.9323064736863875,0.8% OFG
10.816879093581024,5.758610755957077,0.8% OFG
19.156633210842646,5.722860652462859,0.8% OFG
5.684266059696994,7.767468388513585,0.13% OFG
10.816879093581024,33.887285781157544,0.13% OFG
19.156633210842646,359.21969178317914,0.13% OFG
5.684266059696994,7.840993616459429,0.07% OFG
10.816879093581024,7.708125184385588,0.07% OFG
19.156633210842646,7.672949554942121,0.07% OFG
5.684266059696994,7.338204506545887,0.17% OFG
10.816879093581024,67.16261919704542,0.17% OFG
19.156633210842646,578.4781483780498,0.17% OFG
5.684266059696994,-3.223537993098303,0.73% OFG
10.816879093581024,-0.4967005725370828,0.73% OFG
19.156633210842646,-0.060370555856390506,0.73% OFG
