Strain,Hardness (HV)
0,4.943812582376578,0.7% graphite nanoplates
4,6.54577251680561,0.7% graphite nanoplates
8,17.763686347720608,0.7% graphite nanoplates
10,25.184574948620856,0.7% graphite nanoplates
15,171.1197753427822,0.7% graphite nanoplates
0,-5.658641822092463,0.27% graphite nanoplates
4,-6.130201170187159,0.27% graphite nanoplates
8,-6.288727286206588,0.27% graphite nanoplates
10,-6.404858103511207,0.27% graphite nanoplates
15,-6.527962597073937,0.27% graphite nanoplates
0,8.536179683454426,0.02% graphite nanoplates
4,8.36366119506799,0.02% graphite nanoplates
8,9.763073284403939,0.02% graphite nanoplates
10,11.178698537857423,0.02% graphite nanoplates
15,13.610068601011065,0.02% graphite nanoplates
0,1.8888828881547144,0.4% graphite nanoplates
4,1.2569837464175226,0.4% graphite nanoplates
8,1.0635704736964788,0.4% graphite nanoplates
10,1.007414894566341,0.4% graphite nanoplates
15,0.9739971056386296,0.4% graphite nanoplates
