UV Exposure Time (h),Dielectric Breakdown Strength (MV/m)
4.707706051833258,10.777871179380421,0.91% TiNT
4.88160609321209,10.571786538881023,0.91% TiNT
6.672220033651888,7.043710452810465,0.91% TiNT
6.809211308388132,13.744949788831883,0.91% TiNT
10.121296528510825,33.89318995877562,0.91% TiNT
15.503090918063629,17.18527766586083,0.91% TiNT
4.707706051833258,-1.7619957720502772,0.72% TiNT
4.88160609321209,-1.8569001678980859,0.72% TiNT
6.672220033651888,-2.001343284220803,0.72% TiNT
6.809211308388132,-2.052958779034655,0.72% TiNT
10.121296528510825,-2.1642607397232405,0.72% TiNT
15.503090918063629,-2.280597954113191,0.72% TiNT
4.707706051833258,4.211308319509605,0.47% TiNT
4.88160609321209,3.1087992550158523,0.47% TiNT
6.672220033651888,4.126651721722579,0.47% TiNT
6.809211308388132,3.820066365632491,0.47% TiNT
10.121296528510825,6.737401895676922,0.47% TiNT
15.503090918063629,5.381745633202773,0.47% TiNT
4.707706051833258,7.215624800429174,0.27% TiNT
4.88160609321209,7.14869442282682,0.27% TiNT
6.672220033651888,8.593938635788083,0.27% TiNT
6.809211308388132,7.504397038856756,0.27% TiNT
10.121296528510825,9.891880045917285,0.27% TiNT
15.503090918063629,15.988741762131639,0.27% TiNT
4.707706051833258,-3.1711939807333214,0.93% TiNT
4.88160609321209,-3.345591572798326,0.93% TiNT
6.672220033651888,-3.248970476102256,0.93% TiNT
6.809211308388132,-3.3635174314230243,0.93% TiNT
10.121296528510825,-3.4801191986621873,0.93% TiNT
15.503090918063629,-3.6522748867389314,0.93% TiNT
