Reaction Temperature (°C),Magnetic Permeability (H/m)
0.1904588309282662,3.00095741263859,PVAL
4.378907748199166,4.060572379218421,PVAL
7.7223610122442405,4.827699278843081,PVAL
0.1904588309282662,6.625025517037877,NVE
4.378907748199166,6.247097031399733,NVE
7.7223610122442405,6.097572573607393,NVE
0.1904588309282662,-6.442447938177445,Polybutylene succinate
4.378907748199166,-7.44012032680277,Polybutylene succinate
7.7223610122442405,-7.6249171815591765,Polybutylene succinate
0.1904588309282662,-3.2273288227346644,PETP
4.378907748199166,-4.0771719671003,PETP
7.7223610122442405,-4.209534811750476,PETP
