Thermal Diffusivity (mm²/s),Conductivity (S/m)
0.7649226584533686,-4.645931510148999,Talcum/PTFCE
0.8227805733060678,-5.329586208975783,Talcum/PTFCE
5.336583866825448,-5.328511410971812,Talcum/PTFCE
0.7649226584533686,7.276787183833725,Carbon nanofibers/PTFCE
0.8227805733060678,7.527571760129749,Carbon nanofibers/PTFCE
5.336583866825448,6.667369303785639,Carbon nanofibers/PTFCE
0.7649226584533686,-0.8206835011717859,Molybdenum disulfide/PTFCE
0.8227805733060678,-0.9561641983083125,Molybdenum disulfide/PTFCE
5.336583866825448,2.281361052105053,Molybdenum disulfide/PTFCE
0.7649226584533686,-5.007018914842737,BaTiO3/PTFCE
0.8227805733060678,-4.602139350697645,BaTiO3/PTFCE
5.336583866825448,-5.118075447985881,BaTiO3/PTFCE
