Polymer Molecular Weight (g/mol),Shear Modulus (GPa)
0.06480080644650998,-3.4424640938421933,0.64% CaCu3Ti4O12
12.327613945695697,-2.638356402437747,0.64% CaCu3Ti4O12
17.608305755510596,14.488554616642446,0.64% CaCu3Ti4O12
0.06480080644650998,5.62482569613125,0.79% CaCu3Ti4O12
12.327613945695697,4.2010556128773615,0.79% CaCu3Ti4O12
17.608305755510596,4.181555963190352,0.79% CaCu3Ti4O12
0.06480080644650998,0.4099565429572234,0.81% CaCu3Ti4O12
12.327613945695697,-0.22595400402796506,0.81% CaCu3Ti4O12
17.608305755510596,-0.33141650161995795,0.81% CaCu3Ti4O12
0.06480080644650998,1.7790863893656308,0.38% CaCu3Ti4O12
12.327613945695697,1.0069535494254642,0.38% CaCu3Ti4O12
17.608305755510596,0.9868197151103439,0.38% CaCu3Ti4O12
