Crosslinking Density (mol/m³),Flexural Modulus (GPa)
3,3.1219949554968394,0.65% Barium strontium titanate/PBuA
5,2.798455166461277,0.65% Barium strontium titanate/PBuA
6,2.7480489659945033,0.65% Barium strontium titanate/PBuA
15,2.587232143229266,0.65% Barium strontium titanate/PBuA
17,2.582550321719983,0.65% Barium strontium titanate/PBuA
3,1.2971520219063493,0.25% Barium strontium titanate/PBuA
5,-0.6276390657506701,0.25% Barium strontium titanate/PBuA
6,3.1278082052884972,0.25% Barium strontium titanate/PBuA
15,84.60973322899488,0.25% Barium strontium titanate/PBuA
17,432.1431010770114,0.25% Barium strontium titanate/PBuA
3,8.750815145580749,0.94% Barium strontium titanate/PBuA
5,10.708484566979099,0.94% Barium strontium titanate/PBuA
6,10.653316665722297,0.94% Barium strontium titanate/PBuA
15,82.84034567484878,0.94% Barium strontium titanate/PBuA
17,275.2899144471486,0.94% Barium strontium titanate/PBuA
