Aspect Ratio,X-ray Diffraction Intensity
3.215547681707447,5.709210694251791,0.08% PbS
3.5158536189738876,5.609295546764264,0.08% PbS
7.543598769254545,5.544825756671006,0.08% PbS
12.685490679969813,5.351252311024995,0.08% PbS
13.212915160046876,5.356498215681164,0.08% PbS
3.215547681707447,-6.528568878988946,0.93% PbS
3.5158536189738876,-6.529508129189264,0.93% PbS
7.543598769254545,-6.757092074261465,0.93% PbS
12.685490679969813,-6.844548497212861,0.93% PbS
13.212915160046876,-6.844942552996813,0.93% PbS
3.215547681707447,0.03164943376205853,0.62% PbS
3.5158536189738876,-0.7065042107947017,0.62% PbS
7.543598769254545,-1.1281727619910589,0.62% PbS
12.685490679969813,1.5476883920712838,0.62% PbS
13.212915160046876,4.851882606917077,0.62% PbS
