Heat Treatment Time (h),Compressive Modulus (GPa)
1,7.332630903226501,0.08% OMLS/Poly(propylene)
4,7.173465079573484,0.08% OMLS/Poly(propylene)
9,6.835237589154872,0.08% OMLS/Poly(propylene)
14,6.649894735765226,0.08% OMLS/Poly(propylene)
15,6.617589678812618,0.08% OMLS/Poly(propylene)
16,6.58743468965168,0.08% OMLS/Poly(propylene)
17,6.5782120036873515,0.08% OMLS/Poly(propylene)
1,-6.13761352060846,0.11% OMLS/Poly(propylene)
4,-3.46046596658027,0.11% OMLS/Poly(propylene)
9,13.50737967658185,0.11% OMLS/Poly(propylene)
14,54.58339577268844,0.11% OMLS/Poly(propylene)
15,57.06464410325301,0.11% OMLS/Poly(propylene)
16,46.99800631841024,0.11% OMLS/Poly(propylene)
17,355.5403668699354,0.11% OMLS/Poly(propylene)
1,-1.5080407446444115,0.45% OMLS/Poly(propylene)
4,-1.91185931222835,0.45% OMLS/Poly(propylene)
9,-1.9680483220512066,0.45% OMLS/Poly(propylene)
14,-2.122702255697598,0.45% OMLS/Poly(propylene)
15,-2.14264472855583,0.45% OMLS/Poly(propylene)
16,-2.161006695055785,0.45% OMLS/Poly(propylene)
17,-2.207169091991249,0.45% OMLS/Poly(propylene)
