pH,Polarization Resistance (Ω·m²)
4,10.989777442683565,high abrasion furnace black/PEVA
11,25.07502798126682,high abrasion furnace black/PEVA
14,76.33382887201641,high abrasion furnace black/PEVA
18,505.7588318165939,high abrasion furnace black/PEVA
4,4.75051587281469,Polyaniline/PEVA
11,4.406823176933961,Polyaniline/PEVA
14,4.306537049884206,Polyaniline/PEVA
18,4.214782856975385,Polyaniline/PEVA
4,7.391500003123166,CaCu3Ti4O12/PEVA
11,7.005650732908365,CaCu3Ti4O12/PEVA
14,6.915476306478912,CaCu3Ti4O12/PEVA
18,6.836223675281917,CaCu3Ti4O12/PEVA
4,4.2418214455914605,silica nanoparticles/PEVA
11,31.701568103218307,silica nanoparticles/PEVA
14,73.94404373803663,silica nanoparticles/PEVA
18,280.9961253533427,silica nanoparticles/PEVA
