Tensile Strength (MPa),Kinematic Viscosity (mm²/s)
14.8582291974017,-0.5812757374736226,montmorillonite/PA 12
17.091925447206243,-0.5862957167653168,montmorillonite/PA 12
18.02939176457293,-0.5879918304814221,montmorillonite/PA 12
19.99137485485984,-0.5897647096730427,montmorillonite/PA 12
0.9009917900675535,-4.027173885927254,multi-wall carbon nanotubes/PA 12
4.727516585655282,-3.6094573563478045,multi-wall carbon nanotubes/PA 12
15.09689008677731,-4.07193755702524,multi-wall carbon nanotubes/PA 12
19.38859162442938,0.2780953426235815,multi-wall carbon nanotubes/PA 12
3,-3.0484942967818736,Triphenyl phosphate/PA 12
5,-3.266676986073041,Triphenyl phosphate/PA 12
9,-3.531803460239767,Triphenyl phosphate/PA 12
14,-3.667894881299633,Triphenyl phosphate/PA 12
2.316636935253107,-6.998199468351748,MgO/PA 12
2.9310822325167107,-7.260642533203856,MgO/PA 12
11.144289012716808,-7.652234740210413,MgO/PA 12
19.68956689301688,-7.8250321498879565,MgO/PA 12
2.243478881599603,7.690946145325421,Sodium titanate nanotubes/PA 12
12.750622747894438,7.115996311036713,Sodium titanate nanotubes/PA 12
13.017271116746201,7.098474613280585,Sodium titanate nanotubes/PA 12
19.96627795464815,6.990344164283423,Sodium titanate nanotubes/PA 12
