Stress (Pa),Thermal Conductivity (W/(m·K))
3,1.2988338032847242,PUR
6,5.315999293074293,PUR
8,14.11793614780891,PUR
14,152.90655635016302,PUR
15,-5.419710871677902,PUR
0,6.7337175535475415,PEA
2,6.511523683764355,PEA
3,6.243478426313792,PEA
4,6.3270240034327205,PEA
14,5.948456087792499,PEA
1.4959491675746195,-5.695940166616001,BECy
4.494098894033924,-4.709763639364789,BECy
7.371523571072842,-4.941594114597358,BECy
16.239403981553508,2.1707876960629093,BECy
19.537615396256257,-1.8909112019845828,BECy
5,-1.6145601174086641,PMMA-PnBA-PMMA
8,-1.9251038109519114,PMMA-PnBA-PMMA
14,-2.057918836247436,PMMA-PnBA-PMMA
15,-2.0846791347315596,PMMA-PnBA-PMMA
17,-2.135049101478894,PMMA-PnBA-PMMA
3,-1.4112897716643849,FKM
4,-1.5929675062062822,FKM
8,-1.9118484769588941,FKM
10,-1.980692935237329,FKM
16,-2.1725857555147057,FKM
