Softening Temperature (°C),Ionic Conductivity (S/m)
4.074967524137987,10.899090486025349,Poly(ethylene terephthalate)
10.662983273079146,36.91976653366301,Poly(ethylene terephthalate)
18.341353745021905,-474.31637962942614,Poly(ethylene terephthalate)
4.074967524137987,-5.705444031962966,Polyphenylsulfone
10.662983273079146,-6.060629909083676,Polyphenylsulfone
18.341353745021905,-6.270880627262682,Polyphenylsulfone
4.074967524137987,0.8376540810621131,PAA
10.662983273079146,14.619191762396486,PAA
18.341353745021905,398.4732452774694,PAA
4.074967524137987,0.2133271661734435,poly-HEMA
10.662983273079146,1.0083177332987399,poly-HEMA
18.341353745021905,18.934831708622433,poly-HEMA
4.074967524137987,-1.4020910689899773,PMMA-PnBA-PMMA
10.662983273079146,-1.6482926084354053,PMMA-PnBA-PMMA
18.341353745021905,-1.863482934830427,PMMA-PnBA-PMMA
