Aging Time (h),Tensile Strength (MPa)
3.1238907015817796,-1.4824745000374264,0.83% MWNTs
10.336664166520414,-1.9506343396075811,0.83% MWNTs
11.940957121113854,-2.0047455926166937,0.83% MWNTs
18.750413282868287,-2.1403625900774967,0.83% MWNTs
3.1238907015817796,-2.7555237430755812,0.66% MWNTs
10.336664166520414,-3.2297628234971603,0.66% MWNTs
11.940957121113854,-3.2735648253910186,0.66% MWNTs
18.750413282868287,-3.4094783296459115,0.66% MWNTs
3.1238907015817796,2.2623051912183296,0.91% MWNTs
10.336664166520414,1.8065087653167444,0.91% MWNTs
11.940957121113854,1.7267729772941531,0.91% MWNTs
18.750413282868287,1.5684389475045781,0.91% MWNTs
3.1238907015817796,6.608278948313884,0.38% MWNTs
10.336664166520414,6.2405504827256975,0.38% MWNTs
11.940957121113854,6.221320695168157,0.38% MWNTs
18.750413282868287,6.1946712587073725,0.38% MWNTs
3.1238907015817796,-3.251466415912931,0.22% MWNTs
10.336664166520414,-3.5103933281880617,0.22% MWNTs
11.940957121113854,-3.525825663830156,0.22% MWNTs
18.750413282868287,-3.549662369220287,0.22% MWNTs
