Decomposition Temperature (°C),Pore Size (nm)
1.8689132970887967,5.324168500696333,CaCO3/PGMA
3.5014398291096893,6.571943731208204,CaCO3/PGMA
4.857219654230591,7.923524179771084,CaCO3/PGMA
4.966580627473947,6.015856116573108,CaCO3/PGMA
10.706159954618846,33.17833856084093,CaCO3/PGMA
10.802771749319998,16.85032545613495,CaCO3/PGMA
12.937662133237422,33.42231983609326,CaCO3/PGMA
1.8689132970887967,7.760907371103687,FeO/PGMA
3.5014398291096893,7.674795694989611,FeO/PGMA
4.857219654230591,7.354197058071249,FeO/PGMA
4.966580627473947,7.330104341997112,FeO/PGMA
10.706159954618846,7.171633823847948,FeO/PGMA
10.802771749319998,7.173446030304246,FeO/PGMA
12.937662133237422,7.101050458925578,FeO/PGMA
