wt%,Saturation Magnetization (A/m)
4,-4.90558583587902,multi-walled CNTs/S-EB-S
9,15.14023489397679,multi-walled CNTs/S-EB-S
11,43.13722899540462,multi-walled CNTs/S-EB-S
18,139.96180366379397,multi-walled CNTs/S-EB-S
19,609.0736351746151,multi-walled CNTs/S-EB-S
4,-1.4505583475767312,Single-wall carbon nanotubes/S-EB-S
9,-0.29366955685866003,Single-wall carbon nanotubes/S-EB-S
11,-1.8926890079295862,Single-wall carbon nanotubes/S-EB-S
18,5.875181071094275,Single-wall carbon nanotubes/S-EB-S
19,9.55506159389781,Single-wall carbon nanotubes/S-EB-S
4,2.6435143091577102,TPP/S-EB-S
9,8.700737378558792,TPP/S-EB-S
11,38.53937010302895,TPP/S-EB-S
18,236.26515270371985,TPP/S-EB-S
19,1180.1392074590863,TPP/S-EB-S
4,5.091000262981071,Cellulose/S-EB-S
9,16.335831272434866,Cellulose/S-EB-S
11,23.847799688668772,Cellulose/S-EB-S
18,543.8700894359451,Cellulose/S-EB-S
19,-73.69101632704054,Cellulose/S-EB-S
