Drying Temperature (°C),Ionic Conductivity (S/m)
2.9731778696134215,1.5710842164421264,carbon nanofibers/P(VDF-HFP)
14.065868039255161,1.1827581844752142,carbon nanofibers/P(VDF-HFP)
15.815437329877199,1.14851124343695,carbon nanofibers/P(VDF-HFP)
19.699079015036908,1.0759095371384584,carbon nanofibers/P(VDF-HFP)
2.9731778696134215,7.452428514608508,alumina/P(VDF-HFP)
14.065868039255161,7.080515698532019,alumina/P(VDF-HFP)
15.815437329877199,7.074516079583764,alumina/P(VDF-HFP)
19.699079015036908,7.068412609856567,alumina/P(VDF-HFP)
2.9731778696134215,-2.3184829176145625,polyaniline/P(VDF-HFP)
14.065868039255161,6.33497921631251,polyaniline/P(VDF-HFP)
15.815437329877199,-4.10946625717248,polyaniline/P(VDF-HFP)
19.699079015036908,3.524758040385672,polyaniline/P(VDF-HFP)
2.9731778696134215,-4.117119210244752,magnesium oxide/P(VDF-HFP)
14.065868039255161,-1.4464709000271956,magnesium oxide/P(VDF-HFP)
15.815437329877199,-1.3897140582379368,magnesium oxide/P(VDF-HFP)
19.699079015036908,19.092028893550033,magnesium oxide/P(VDF-HFP)
2.9731778696134215,1.9321935127705872,Lamp black/P(VDF-HFP)
14.065868039255161,1.2833489634136959,Lamp black/P(VDF-HFP)
15.815437329877199,1.2536052303465615,Lamp black/P(VDF-HFP)
19.699079015036908,1.193793130204312,Lamp black/P(VDF-HFP)
