Thermal Conductivity (W/(m·K)),Shear Strength (MPa)
3.7076721547349556,3.933232476187331,octyldimethylmethoxysilane/Polybutadiene
9.978154908797961,3.6900122259851056,octyldimethylmethoxysilane/Polybutadiene
14.653481478949708,3.6472057373032247,octyldimethylmethoxysilane/Polybutadiene
3.7076721547349556,6.638258187582439,Silicon carbide/Polybutadiene
9.978154908797961,8.48540758890509,Silicon carbide/Polybutadiene
14.653481478949708,76.20734770834062,Silicon carbide/Polybutadiene
3.7076721547349556,-3.468878408476744,silica/Polybutadiene
9.978154908797961,-2.69211925063061,silica/Polybutadiene
14.653481478949708,-3.493811870850124,silica/Polybutadiene
3.7076721547349556,-0.8688870150584787,aluminum/Polybutadiene
9.978154908797961,-0.40131439349186593,aluminum/Polybutadiene
14.653481478949708,-4.582393373726553,aluminum/Polybutadiene
