Ion Beam Dose (Gy),Pore Size (nm)
3,2.0144802874531242,0.84% MWNTs
5,1.8218481319671374,0.84% MWNTs
9,1.6872034087614247,0.84% MWNTs
15,1.4968878614688452,0.84% MWNTs
17,1.4624225567072129,0.84% MWNTs
3,-6.4243736458966145,0.25% MWNTs
5,-6.566390811792806,0.25% MWNTs
9,-6.73350022079972,0.25% MWNTs
15,-6.78778316441169,0.25% MWNTs
17,-6.7920565473709935,0.25% MWNTs
3,5.349386856113415,0.84% MWNTs
5,5.177481573997959,0.84% MWNTs
9,5.017272530825092,0.84% MWNTs
15,4.958341656198974,0.84% MWNTs
17,4.9525550957125235,0.84% MWNTs
3,7.3607460248093215,0.24% MWNTs
5,8.445057498500292,0.24% MWNTs
9,10.82944594643578,0.24% MWNTs
15,8.872186147877432,0.24% MWNTs
17,6.913831005635537,0.24% MWNTs
3,8.311800024648239,0.53% MWNTs
5,8.193414307667041,0.53% MWNTs
9,8.049552144167677,0.53% MWNTs
15,7.856151027774311,0.53% MWNTs
17,7.825037064524004,0.53% MWNTs
