Time (s),Shear Strength (MPa)
3.143889677708094,5.39143161034975,0.97% PVA/Nylon 11
5.660433320672769,6.516791368615341,0.97% PVA/Nylon 11
13.036473631797902,9.41365787100664,0.97% PVA/Nylon 11
15.660357450068833,11.964312712624086,0.97% PVA/Nylon 11
3.143889677708094,7.213336770246912,0.8% PVA/Nylon 11
5.660433320672769,6.869178602348015,0.8% PVA/Nylon 11
13.036473631797902,7.507361291287085,0.8% PVA/Nylon 11
15.660357450068833,10.142844499498732,0.8% PVA/Nylon 11
3.143889677708094,6.453879972972449,0.37% PVA/Nylon 11
5.660433320672769,6.28694412789788,0.37% PVA/Nylon 11
13.036473631797902,6.148328111354224,0.37% PVA/Nylon 11
15.660357450068833,6.136553707498717,0.37% PVA/Nylon 11
3.143889677708094,-0.35126146520557455,0.44% PVA/Nylon 11
5.660433320672769,0.19484558172884547,0.44% PVA/Nylon 11
13.036473631797902,65.04778715758171,0.44% PVA/Nylon 11
15.660357450068833,90.18732614108607,0.44% PVA/Nylon 11
