Light Intensity (W/m²),Thermal Diffusivity (mm²/s)
0.5989695198645961,0.01702392129464414,BECy
5.131270146641738,4.388012912682122,BECy
18.212489926391296,-187.97308862604265,BECy
0.5989695198645961,7.3007163990854025,PA 6T
5.131270146641738,6.813901571516208,PA 6T
18.212489926391296,6.634591052182461,PA 6T
0.5989695198645961,-6.325310981470074,PRX
5.131270146641738,-6.64853704939581,PRX
18.212489926391296,-7.079720799763608,PRX
0.5989695198645961,7.190047870217514,Nylon 6(3)T
5.131270146641738,9.231372048453888,Nylon 6(3)T
18.212489926391296,444.383105701312,Nylon 6(3)T
