Filler Content (%),Tan Delta
0,4.62548100607383,SWNT/PS-I
3,4.851203826441412,SWNT/PS-I
8,5.587288687470053,SWNT/PS-I
11,4.127441623559786,SWNT/PS-I
14,2.750096837043346,SWNT/PS-I
17,5.86168550511309,SWNT/PS-I
19,10.980875498186798,SWNT/PS-I
0,0.70205166920864,MWCNT/PS-I
3,2.363432912771996,MWCNT/PS-I
8,17.020618722694074,MWCNT/PS-I
11,22.29628151023625,MWCNT/PS-I
14,123.60838818403641,MWCNT/PS-I
17,-249.07793313540836,MWCNT/PS-I
19,436.1024588456579,MWCNT/PS-I
0,-1.8055991377903666,SWNT/PS-I
3,-1.8346853849211122,SWNT/PS-I
8,-0.2003557874747237,SWNT/PS-I
11,-0.3725590058795576,SWNT/PS-I
14,3.1796053594771703,SWNT/PS-I
17,5.534474162145038,SWNT/PS-I
19,-2.553673285559814,SWNT/PS-I
