Dielectric Constant,Porosity (%)
0,-5.048334097726806,PVDF
3,-4.517376838610735,PVDF
4,-4.484161527712713,PVDF
8,-3.4438025233921565,PVDF
9,-2.3293943576254312,PVDF
11,-4.614457328492787,PVDF
19,6.840056638315195,PVDF
0,-1.0874535026410284,BR
3,-1.3223484628341207,BR
4,-1.5579794706257954,BR
8,-1.7652382617342184,BR
9,-1.7038805181238792,BR
11,-1.8096875162389976,BR
19,-1.994499681042024,BR
0,7.8628911040733644,Poly(butyl acrylate)
3,7.658616624800121,Poly(butyl acrylate)
4,7.403011659340091,Poly(butyl acrylate)
8,7.098476903408664,Poly(butyl acrylate)
9,7.048192071853624,Poly(butyl acrylate)
11,6.990224680389078,Poly(butyl acrylate)
19,6.784810316839855,Poly(butyl acrylate)
0,4.878343399396609,PA 6T
3,5.153135583056599,PA 6T
4,5.636066857458953,PA 6T
8,5.484273057252731,PA 6T
9,8.114285872264375,PA 6T
11,6.445817319255239,PA 6T
19,25.14987463237276,PA 6T
0,5.1719851710597275,Poly(ethyl acrylate)
3,4.779374705173218,Poly(ethyl acrylate)
4,4.744874240712963,Poly(ethyl acrylate)
8,4.552678678257318,Poly(ethyl acrylate)
9,4.579493841630298,Poly(ethyl acrylate)
11,4.4785968027047875,Poly(ethyl acrylate)
19,4.297053021991425,Poly(ethyl acrylate)
