Incubation Temperature (°C),Heat Capacity (J/K)
0.5593932756696485,-2.516262495682251,
2.2280132575129374,-2.735774844722453,
11.685537325078837,-1.7381106852209705,
12.804091255213505,-0.920333489443355,
4,2.487088071102292,
15,2.01417667132077,
17,1.970628894880688,
19,1.9417154879804386,
4,-0.37138332800418006,
14,78.01877875741252,
15,-97.50407813367462,
18,-43.321850088634285,
7.283177072311304,5.449882792736791,
8.088918436997464,4.430602265919753,
14.260701363839667,9.743608971080567,
15.243110658346833,6.984154635804966,
