Strain,Tan Delta
0,2.9533603527745793,0.99% Zinc oxide/PVAc
3,2.397368400429665,0.99% Zinc oxide/PVAc
6,2.120070831955883,0.99% Zinc oxide/PVAc
9,2.0230320475206294,0.99% Zinc oxide/PVAc
14,1.9684475566810924,0.99% Zinc oxide/PVAc
16,1.9637509434682323,0.99% Zinc oxide/PVAc
19,1.9585680949389255,0.99% Zinc oxide/PVAc
0,-6.459764645853994,0.49% Zinc oxide/PVAc
3,-5.033368735159993,0.49% Zinc oxide/PVAc
6,-1.7127903993130529,0.49% Zinc oxide/PVAc
9,11.265464215844576,0.49% Zinc oxide/PVAc
14,38.9278327705677,0.49% Zinc oxide/PVAc
16,8.789334504923511,0.49% Zinc oxide/PVAc
19,50.76642211384986,0.49% Zinc oxide/PVAc
0,3.1021307479743108,1.0% Zinc oxide/PVAc
3,4.928909756458653,1.0% Zinc oxide/PVAc
6,11.029696635020606,1.0% Zinc oxide/PVAc
9,22.7510116243636,1.0% Zinc oxide/PVAc
14,51.96258558243107,1.0% Zinc oxide/PVAc
16,-12.501710196766075,1.0% Zinc oxide/PVAc
19,616.2131371314059,1.0% Zinc oxide/PVAc
0,-6.050311606725752,0.06% Zinc oxide/PVAc
3,-4.854162107905375,0.06% Zinc oxide/PVAc
6,-0.17054121693346236,0.06% Zinc oxide/PVAc
9,18.56028060889483,0.06% Zinc oxide/PVAc
14,45.696056880878935,0.06% Zinc oxide/PVAc
16,12.451931278731946,0.06% Zinc oxide/PVAc
19,1155.1207911597605,0.06% Zinc oxide/PVAc
0,7.235619560842328,0.52% Zinc oxide/PVAc
3,9.254547597116208,0.52% Zinc oxide/PVAc
6,17.706991614109867,0.52% Zinc oxide/PVAc
9,22.086354891637,0.52% Zinc oxide/PVAc
14,19.698201188402244,0.52% Zinc oxide/PVAc
16,46.8234437300999,0.52% Zinc oxide/PVAc
19,125.87563945837644,0.52% Zinc oxide/PVAc
