Reaction Temperature (°C),Shear Viscosity (Pa·s)
2.8219919759164602,5.429398031579434,0.75% OAP-POSS/silicone
3.40376187761279,5.656305635763215,0.75% OAP-POSS/silicone
6.927999628360291,5.2490850255678,0.75% OAP-POSS/silicone
18.373520521631313,4.95665991754694,0.75% OAP-POSS/silicone
19.06972094125637,4.941155397303158,0.75% OAP-POSS/silicone
2.8219919759164602,-0.6647074923466549,0.25% OAP-POSS/silicone
3.40376187761279,-0.018200556851466487,0.25% OAP-POSS/silicone
6.927999628360291,1.946790384186734,0.25% OAP-POSS/silicone
18.373520521631313,227.59277015477247,0.25% OAP-POSS/silicone
19.06972094125637,580.6247455471845,0.25% OAP-POSS/silicone
2.8219919759164602,-3.227385545717946,0.96% OAP-POSS/silicone
3.40376187761279,-3.3659420702065095,0.96% OAP-POSS/silicone
6.927999628360291,-3.546859511943851,0.96% OAP-POSS/silicone
18.373520521631313,-3.6638314876036824,0.96% OAP-POSS/silicone
19.06972094125637,-3.664670865835696,0.96% OAP-POSS/silicone
2.8219919759164602,5.347653437949333,0.52% OAP-POSS/silicone
3.40376187761279,5.431362853586072,0.52% OAP-POSS/silicone
6.927999628360291,5.242033768275373,0.52% OAP-POSS/silicone
18.373520521631313,4.850644581754652,0.52% OAP-POSS/silicone
19.06972094125637,4.844634160598202,0.52% OAP-POSS/silicone
2.8219919759164602,3.858540432310696,0.26% OAP-POSS/silicone
3.40376187761279,3.7058960596281545,0.26% OAP-POSS/silicone
6.927999628360291,7.78319177399233,0.26% OAP-POSS/silicone
18.373520521631313,426.82419277029123,0.26% OAP-POSS/silicone
19.06972094125637,413.7986588754673,0.26% OAP-POSS/silicone
