Dispersing Time (min),Passivation Current Density (A/m²)
4.213179903941871,-3.3583384169858994,CaCu3Ti4O12/S-SEBS
6.324199639349873,-4.545374773000709,CaCu3Ti4O12/S-SEBS
8.579700226668967,-2.8851945953099563,CaCu3Ti4O12/S-SEBS
8.967179034678894,-2.274836022890084,CaCu3Ti4O12/S-SEBS
17.636898382731616,4.234393269312138,CaCu3Ti4O12/S-SEBS
4.213179903941871,7.478837347248587,Ag/S-SEBS
6.324199639349873,14.852091521546312,Ag/S-SEBS
8.579700226668967,17.019816497403234,Ag/S-SEBS
8.967179034678894,13.25561432487832,Ag/S-SEBS
17.636898382731616,339.7495979159797,Ag/S-SEBS
