Calcination Time (h),Particle Size Distribution
10.377776592907711,12.422457216831473,0.18% Zirconium dioxide
15.216060843793679,136.8620178379496,0.18% Zirconium dioxide
17.58576532173478,97.6258318741618,0.18% Zirconium dioxide
10.377776592907711,-1.003243298985098,0.27% Zirconium dioxide
15.216060843793679,-1.0366987069358968,0.27% Zirconium dioxide
17.58576532173478,-1.0421437661121582,0.27% Zirconium dioxide
10.377776592907711,13.696744429305117,0.67% Zirconium dioxide
15.216060843793679,94.81097951526385,0.67% Zirconium dioxide
17.58576532173478,-46.38792478255585,0.67% Zirconium dioxide
10.377776592907711,-5.688574589871686,0.58% Zirconium dioxide
15.216060843793679,-5.723205318596547,0.58% Zirconium dioxide
17.58576532173478,-5.728508702666325,0.58% Zirconium dioxide
