Loading Concentration (%),Complex Viscosity (Pa·s)
5.689645017292908,-4.738211862407451,SBR
8.807530149695015,-6.027171315313067,SBR
9.059036577766006,-5.156671756442808,SBR
13.502173660428515,-1.4663734285469836,SBR
16.5530892860011,-3.336185389313279,SBR
5.689645017292908,-4.4845121527513605,Nylon 6-6
8.807530149695015,-4.640334150888275,Nylon 6-6
9.059036577766006,-4.587557925053187,Nylon 6-6
13.502173660428515,-4.769018325319237,Nylon 6-6
16.5530892860011,-4.806315962853139,Nylon 6-6
5.689645017292908,-3.641889628801795,PUR
8.807530149695015,9.84014351020951,PUR
9.059036577766006,6.3422334846874815,PUR
13.502173660428515,87.59770633931163,PUR
16.5530892860011,1.9771411650954196,PUR
5.689645017292908,-5.968882040191469,FKM
8.807530149695015,-5.184900383007202,FKM
9.059036577766006,-4.64935375930315,FKM
13.502173660428515,-3.6865834898664893,FKM
16.5530892860011,-3.4243399889263815,FKM
