Ultrasound Power (W),Heat Capacity (J/K)
0.3960667385602257,2.192839004529507,silver hexafluoroantimonate/Nylon 11
2.413279982703578,2.314785083741456,silver hexafluoroantimonate/Nylon 11
2.5225758415958666,2.357368827395954,silver hexafluoroantimonate/Nylon 11
4.626820004477212,2.115782854009,silver hexafluoroantimonate/Nylon 11
6.701978095133459,1.9295811530571712,silver hexafluoroantimonate/Nylon 11
18.2865227066195,1.605610533125536,silver hexafluoroantimonate/Nylon 11
19.73369311723712,1.5867163857944768,silver hexafluoroantimonate/Nylon 11
0.3960667385602257,7.553294166756787,CaCu3Ti4O12/Nylon 11
2.413279982703578,7.461639385796818,CaCu3Ti4O12/Nylon 11
2.5225758415958666,7.394649171610773,CaCu3Ti4O12/Nylon 11
4.626820004477212,7.164601945051038,CaCu3Ti4O12/Nylon 11
6.701978095133459,7.098248568111616,CaCu3Ti4O12/Nylon 11
18.2865227066195,6.976299705488774,CaCu3Ti4O12/Nylon 11
19.73369311723712,6.974695972865372,CaCu3Ti4O12/Nylon 11
0.3960667385602257,-6.32614375970437,sodium montmorillonite/Nylon 11
2.413279982703578,-5.260727426463424,sodium montmorillonite/Nylon 11
2.5225758415958666,-5.2295275670570565,sodium montmorillonite/Nylon 11
4.626820004477212,-2.641627026522973,sodium montmorillonite/Nylon 11
6.701978095133459,5.0775700040649046,sodium montmorillonite/Nylon 11
18.2865227066195,208.67226317995477,sodium montmorillonite/Nylon 11
19.73369311723712,77.63220140196977,sodium montmorillonite/Nylon 11
