Aging Time (h),Loss Modulus (Pa)
5.2438518897710455,5.185899612165363,sPP
8.37116956901329,2.3334829521226297,sPP
9.583021758871876,21.120895312697392,sPP
5.2438518897710455,-5.398268678502715,PMA
8.37116956901329,-5.547595444728135,PMA
9.583021758871876,-5.46610971738947,PMA
5.2438518897710455,5.0948709895142015,Poly(ethyl methacrylate)
8.37116956901329,4.955603639121619,Poly(ethyl methacrylate)
9.583021758871876,4.931718436389154,Poly(ethyl methacrylate)
5.2438518897710455,4.1450297441299115,Nylon 6T
8.37116956901329,4.006577771024988,Nylon 6T
9.583021758871876,3.981125579264453,Nylon 6T
5.2438518897710455,-4.5806321238332535,PA 6T
8.37116956901329,-4.6986909938477535,PA 6T
9.583021758871876,-4.709934553629378,PA 6T
