Neutron Flux (n/cm²/s),Tensile Strength (MPa)
6.47755871744689,7.578943126090652,0.61% Montmorillonite
9.214212371800217,11.13389137178458,0.61% Montmorillonite
12.536755797813786,12.249549547635606,0.61% Montmorillonite
6.47755871744689,4.890826585533306,0.98% Montmorillonite
9.214212371800217,4.680062064218038,0.98% Montmorillonite
12.536755797813786,4.6044678264244325,0.98% Montmorillonite
6.47755871744689,1.0073021587055015,0.65% Montmorillonite
9.214212371800217,0.8182338425990299,0.65% Montmorillonite
12.536755797813786,0.7175800173543824,0.65% Montmorillonite
6.47755871744689,-0.5504708715176589,0.55% Montmorillonite
9.214212371800217,-0.6329115989181422,0.55% Montmorillonite
12.536755797813786,-0.6698094194063211,0.55% Montmorillonite
