Reaction Time (h),Hardness (HV)
2,0.6750808358102709,0.97% White mineral oil
6,0.2334110776983361,0.97% White mineral oil
12,0.09573759550693028,0.97% White mineral oil
2,5.09596115768867,0.55% White mineral oil
6,4.62616178298688,0.55% White mineral oil
12,4.511759725431041,0.55% White mineral oil
2,-3.549152990213244,0.06% White mineral oil
6,0.4811232748672385,0.06% White mineral oil
12,5.183667181574709,0.06% White mineral oil
2,-0.6770846029127018,0.91% White mineral oil
6,-1.1213267585311577,0.91% White mineral oil
12,-1.3562544580649316,0.91% White mineral oil
