Calcination Temperature (°C),Bulk Modulus (GPa)
5.891200317636722,-1.5303616706144907,0.5% Graphene/PVAC
8.036898669323417,0.36763941655543997,0.5% Graphene/PVAC
9.291864212191694,2.239281193379883,0.5% Graphene/PVAC
16.78750022686621,3.8545076806748675,0.5% Graphene/PVAC
5.891200317636722,-2.01312868733942,0.77% Graphene/PVAC
8.036898669323417,-2.077206728395194,0.77% Graphene/PVAC
9.291864212191694,-2.126083323914186,0.77% Graphene/PVAC
16.78750022686621,-2.312576402044432,0.77% Graphene/PVAC
5.891200317636722,6.550054051554181,0.25% Graphene/PVAC
8.036898669323417,9.70823930778463,0.25% Graphene/PVAC
9.291864212191694,14.59326152117365,0.25% Graphene/PVAC
16.78750022686621,3.5274652541392353,0.25% Graphene/PVAC
5.891200317636722,6.018187399695574,0.53% Graphene/PVAC
8.036898669323417,5.882564466186678,0.53% Graphene/PVAC
9.291864212191694,5.770146132799144,0.53% Graphene/PVAC
16.78750022686621,5.6106595024568815,0.53% Graphene/PVAC
