Dielectric Constant,Passivation Current Density (A/m²)
2.586796513217644,8.033235141383983,0.31% Molybdenum Disulfide
2.7280965979048166,8.483399032641058,0.31% Molybdenum Disulfide
15.404632740713662,306.08937585890885,0.31% Molybdenum Disulfide
2.586796513217644,6.044259898411748,0.9% Molybdenum Disulfide
2.7280965979048166,5.996548448702327,0.9% Molybdenum Disulfide
15.404632740713662,5.387930167837204,0.9% Molybdenum Disulfide
2.586796513217644,5.344640112462573,0.91% Molybdenum Disulfide
2.7280965979048166,5.776948441075396,0.91% Molybdenum Disulfide
15.404632740713662,10.691121962124098,0.91% Molybdenum Disulfide
2.586796513217644,-3.3550389752821896,0.01% Molybdenum Disulfide
2.7280965979048166,-3.3645339929279086,0.01% Molybdenum Disulfide
15.404632740713662,-3.8165819053170376,0.01% Molybdenum Disulfide
2.586796513217644,-1.713833169892092,0.05% Molybdenum Disulfide
2.7280965979048166,-1.1513202816834323,0.05% Molybdenum Disulfide
15.404632740713662,183.34633491805963,0.05% Molybdenum Disulfide
