Curing Time (min),Magnetization (A/m)
4.862764052308335,0.031010268421010068,P(Baph)
8.079820836901565,8.051022413623247,P(Baph)
8.951846599482495,12.323476649961924,P(Baph)
10.858421899642144,16.28081245272088,P(Baph)
18.33275257725306,-176.53530967104268,P(Baph)
3,-5.595809908517649,Polyetherketoneketone
10,-5.977642640961376,Polyetherketoneketone
11,-5.99142466514853,Polyetherketoneketone
16,-6.01401989884645,Polyetherketoneketone
18,-6.017383409556433,Polyetherketoneketone
1.0330534497078658,1.4589942366721953,P(VDF-CTFE)
7.895949228453254,13.304744626967974,P(VDF-CTFE)
10.329565825265126,19.808407515159494,P(VDF-CTFE)
11.23950209178721,7.420503592713411,P(VDF-CTFE)
16.158176524932287,207.19795997347563,P(VDF-CTFE)
1,-1.894698198696152,PVP
3,-0.08576839262518243,PVP
7,4.662100997522944,PVP
8,9.317080171046708,PVP
18,517.6530578083773,PVP
