UV Exposure Time (h),Pore Size (nm)
6,0.698537128349502,
10,0.5520651845811662,
11,0.525329095396021,
15,0.3827936293077978,
12.419372722312472,4.526216006196321,
13.474863184788868,4.51811129301337,
13.543530124145363,4.518482417105903,
13.88562985654019,4.517211682486502,
9,1.52530378900501,
11,1.4961570315856065,
12,1.4910468869209577,
16,1.4715201099172088,
0,4.593937274468973,
3,4.412251894334212,
6,6.431583587194821,
13,7.045511783791472,
0,-2.011880107217654,
6,2.3124314918005524,
11,26.197908507433567,
16,51.38951586145815,
