Film Thickness (µm),Magnetic Susceptibility
3.821220993270782,-3.209808922499495,0.68% Calcium Carbonate/Acrylonitrile butadiene styrene
5.500571768845162,-3.345097330284288,0.68% Calcium Carbonate/Acrylonitrile butadiene styrene
6.79385658240399,-3.4164418278821707,0.68% Calcium Carbonate/Acrylonitrile butadiene styrene
0.14647972880027504,6.372246555169847,0.5% Calcium Carbonate/Acrylonitrile butadiene styrene
1.8941618039193608,7.3830922573554405,0.5% Calcium Carbonate/Acrylonitrile butadiene styrene
10.606935961274344,47.97769936731359,0.5% Calcium Carbonate/Acrylonitrile butadiene styrene
4.347560308627136,-4.634424363160984,0.34% Calcium Carbonate/Acrylonitrile butadiene styrene
7.772105692283839,-1.825268570224087,0.34% Calcium Carbonate/Acrylonitrile butadiene styrene
14.068150407844502,1.7910899193850263,0.34% Calcium Carbonate/Acrylonitrile butadiene styrene
1.8925055910736832,-1.1352190223739642,0.71% Calcium Carbonate/Acrylonitrile butadiene styrene
6.022744388580088,-1.4321366982765478,0.71% Calcium Carbonate/Acrylonitrile butadiene styrene
6.383108983619808,-1.4304008247322026,0.71% Calcium Carbonate/Acrylonitrile butadiene styrene
