Storage Time (days),Heat Of Fusion (J/g)
0,8.288527796135114,0.55% Barium titanate
1,7.804065078524587,0.55% Barium titanate
5,7.265101722646921,0.55% Barium titanate
7,7.196912595608036,0.55% Barium titanate
17,7.079267047619232,0.55% Barium titanate
0,-6.603503056706454,0.92% Barium titanate
1,-6.274279305463976,0.92% Barium titanate
5,-7.003094668868751,0.92% Barium titanate
7,-7.122628377297991,0.92% Barium titanate
17,-7.240722767746606,0.92% Barium titanate
0,-0.6322209542825308,0.48% Barium titanate
1,-0.46657542054630885,0.48% Barium titanate
5,4.343345544436364,0.48% Barium titanate
7,7.805359655435579,0.48% Barium titanate
17,248.3768704030435,0.48% Barium titanate
0,6.9948607866422225,0.6% Barium titanate
1,6.7154233267502645,0.6% Barium titanate
5,6.330180044456735,0.6% Barium titanate
7,6.233183562893844,0.6% Barium titanate
17,6.1132117460920945,0.6% Barium titanate
