Tensile Strength (MPa),Fracture Toughness (MPa·m^0.5)
2.272598818994853,-6.617695311571742,P2VP
11.01723188798311,-7.202247126517736,P2VP
15.081272223833967,-7.227576892558513,P2VP
18.640237549997785,-7.235644571354824,P2VP
19.986210716228957,-7.236976310261344,P2VP
2.272598818994853,-2.088002285188336,SBR
11.01723188798311,24.991497121604482,SBR
15.081272223833967,29.76979894384766,SBR
18.640237549997785,659.4675081448396,SBR
19.986210716228957,814.6295266419619,SBR
2.272598818994853,-0.5926346130841869,PMMA-PnBA-PMMA
11.01723188798311,-1.9379364445417964,PMMA-PnBA-PMMA
15.081272223833967,4.095183828430415,PMMA-PnBA-PMMA
18.640237549997785,-1.5700844708002748,PMMA-PnBA-PMMA
19.986210716228957,-12.515273990081575,PMMA-PnBA-PMMA
2.272598818994853,-1.50143212543275,Poly(2-hydroxyethyl methacrylate)
11.01723188798311,-1.9213876387053401,Poly(2-hydroxyethyl methacrylate)
15.081272223833967,-1.9461711124373169,Poly(2-hydroxyethyl methacrylate)
18.640237549997785,-1.954285932350124,Poly(2-hydroxyethyl methacrylate)
19.986210716228957,-1.9556743764120936,Poly(2-hydroxyethyl methacrylate)
