Annealing Temperature (°C),Hysteresis Loss (J/m³)
0.6806680449532654,1.220102040583206,0.99% Silver/PA 66
10.208174981503866,0.39620166619943253,0.99% Silver/PA 66
11.907385862808495,0.37877151847827567,0.99% Silver/PA 66
16.580846450458374,0.35810270381311965,0.99% Silver/PA 66
19.744689627724977,0.3536685074313464,0.99% Silver/PA 66
0.6806680449532654,8.591738718332802,0.84% Silver/PA 66
10.208174981503866,8.117352808380087,0.84% Silver/PA 66
11.907385862808495,8.059081446622175,0.84% Silver/PA 66
16.580846450458374,7.963837395449684,0.84% Silver/PA 66
19.744689627724977,7.914135174561401,0.84% Silver/PA 66
0.6806680449532654,-4.883266038957158,0.72% Silver/PA 66
10.208174981503866,-1.9384225061247395,0.72% Silver/PA 66
11.907385862808495,64.02092424274717,0.72% Silver/PA 66
16.580846450458374,299.92340709739136,0.72% Silver/PA 66
19.744689627724977,1111.267669242615,0.72% Silver/PA 66
0.6806680449532654,-2.054155654621129,0.69% Silver/PA 66
10.208174981503866,-2.3875069888832536,0.69% Silver/PA 66
11.907385862808495,-2.5087863109590685,0.69% Silver/PA 66
16.580846450458374,-2.61206020232818,0.69% Silver/PA 66
19.744689627724977,-2.6539881029183903,0.69% Silver/PA 66
