Magnetic Field Strength (T),Tan Delta
5.847567699652927,5.319827062622918,Graphene/PCL
12.328536982573866,9.659814491925362,Graphene/PCL
14.952033501017759,3.585743818268721,Graphene/PCL
5.847567699652927,-6.309111129905233,SWNTs/PCL
12.328536982573866,-6.683207946612762,SWNTs/PCL
14.952033501017759,-6.720130812061985,SWNTs/PCL
5.847567699652927,5.545197680471365,HAF/PCL
12.328536982573866,5.050473834384496,HAF/PCL
14.952033501017759,5.708398429442392,HAF/PCL
5.847567699652927,4.631307398472924,graphitic nanoplatelets/PCL
12.328536982573866,4.34084558999258,graphitic nanoplatelets/PCL
14.952033501017759,4.263187875696093,graphitic nanoplatelets/PCL
5.847567699652927,-4.613836824486869,calcium copper titanate/PCL
12.328536982573866,-3.5833235172910123,calcium copper titanate/PCL
14.952033501017759,-4.918013897389752,calcium copper titanate/PCL
