Heat Capacity (J/K),Remanence (A/m)
0.8699225813559641,-3.3685593762424,poly-HEMA
9.917410880294268,11.147335499663344,poly-HEMA
14.800799685028283,-40.46984093403206,poly-HEMA
17.128442156440006,239.79483320893416,poly-HEMA
17.796107416618696,-7.077769916629924,poly-HEMA
0.8699225813559641,6.165564866350745,PVDF
9.917410880294268,8.036169532824346,PVDF
14.800799685028283,9.173068589616022,PVDF
17.128442156440006,25.765409746559257,PVDF
17.796107416618696,13.810126255783315,PVDF
0.8699225813559641,1.6895853560053782,Poly(acrylamide)
9.917410880294268,0.8710208531454207,Poly(acrylamide)
14.800799685028283,0.722515164737644,Poly(acrylamide)
17.128442156440006,0.6941848916041516,Poly(acrylamide)
17.796107416618696,0.6673947546761716,Poly(acrylamide)
0.8699225813559641,8.65157346466271,poly-HEMA
9.917410880294268,12.295785175976217,poly-HEMA
14.800799685028283,5.4085156506378524,poly-HEMA
17.128442156440006,14.360830705008006,poly-HEMA
17.796107416618696,11.2490094075183,poly-HEMA
0.8699225813559641,1.8978105401660295,TGPAP
9.917410880294268,1.289515832043537,TGPAP
14.800799685028283,1.1459141924286553,TGPAP
17.128442156440006,1.1100750019615355,TGPAP
17.796107416618696,1.0894982834475284,TGPAP
