Thermal Conductivity (W/(m·K)),Pore Volume (cm³/g)
1.1892204082104896,-3.565316462810881,"0.01% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
1.3786955073711704,-3.10287128046638,"0.01% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
3.452944983529469,-1.3664096202151494,"0.01% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
11.336282307394004,25.49728400853996,"0.01% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
15.965876811795823,268.23429844607915,"0.01% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
18.813504793920913,918.6136879284481,"0.01% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
1.2511383592225434,8.186550221136919,"0.59% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
1.768288492303558,8.680002766994257,"0.59% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
9.977139396723882,21.58914182844625,"0.59% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
10.266651291615585,28.612477906221045,"0.59% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
11.967313876625592,31.955739694106775,"0.59% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
16.459028629135478,-57.250223522408014,"0.59% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
6,1.3779357305704343,"0.82% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
7,1.3454625809228264,"0.82% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
12,1.2484061904856227,"0.82% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
13,1.2402945976200659,"0.82% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
14,1.2360517957730244,"0.82% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
19,1.2238291301931854,"0.82% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
2,-5.372941546674989,"0.96% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
4,-5.606261299750697,"0.96% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
5,-5.547432573042425,"0.96% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
11,-5.943677357256556,"0.96% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
16,-6.059204316349519,"0.96% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
18,-6.096180807128546,"0.96% Iron(II,III) oxide/Poly(tetrafluoroethylene)"
