Particle Density,Surface Area (m²/g)
6,5.686088701503871,SWNTs/Poly(methyl acrylate)
7,5.712533087596961,SWNTs/Poly(methyl acrylate)
14,5.398495316543386,SWNTs/Poly(methyl acrylate)
16,5.38722032259442,SWNTs/Poly(methyl acrylate)
18,5.341662507646877,SWNTs/Poly(methyl acrylate)
19,5.328339431742271,SWNTs/Poly(methyl acrylate)
6,10.267332396052877,BaTiO3/Poly(methyl acrylate)
7,1.0619524307880432,BaTiO3/Poly(methyl acrylate)
14,66.98768865587063,BaTiO3/Poly(methyl acrylate)
16,174.60060987689747,BaTiO3/Poly(methyl acrylate)
18,392.1044555085775,BaTiO3/Poly(methyl acrylate)
19,-240.97498871579887,BaTiO3/Poly(methyl acrylate)
