Light Intensity (W/m²),Magnetic Permeability (H/m)
4.66510105808122,3.901287348545957,0.18% SiC powder/Cyclic olefin copolymer
6.340325024957307,3.810516439414222,0.18% SiC powder/Cyclic olefin copolymer
8.98623240731073,3.7163139918477093,0.18% SiC powder/Cyclic olefin copolymer
17.083113244429985,3.654650955860435,0.18% SiC powder/Cyclic olefin copolymer
17.529046785404493,3.6544264907965283,0.18% SiC powder/Cyclic olefin copolymer
19.260568454124716,3.652111688324995,0.18% SiC powder/Cyclic olefin copolymer
4.66510105808122,-6.879676257316811,0.91% SiC powder/Cyclic olefin copolymer
6.340325024957307,-6.964538867890163,0.91% SiC powder/Cyclic olefin copolymer
8.98623240731073,-6.997161988372477,0.91% SiC powder/Cyclic olefin copolymer
17.083113244429985,-7.270208765112115,0.91% SiC powder/Cyclic olefin copolymer
17.529046785404493,-7.26894834769466,0.91% SiC powder/Cyclic olefin copolymer
19.260568454124716,-7.302467399434837,0.91% SiC powder/Cyclic olefin copolymer
