Calcination Time (h),Pore Size (nm)
2,5.064148636639818,Bisphenol E cyanate ester resin
3,4.8209043873692075,Bisphenol E cyanate ester resin
7,4.639957883270867,Bisphenol E cyanate ester resin
8,4.601701860091399,Bisphenol E cyanate ester resin
12,4.542490050304434,Bisphenol E cyanate ester resin
0.03371039462407133,7.705611255759653,Poly-trifluoroethylene
1.1245679674668718,7.754950627575104,Poly-trifluoroethylene
3.8057730404139423,7.225915966727307,Poly-trifluoroethylene
15.573014078521952,6.969405162197474,Poly-trifluoroethylene
18.95898527291974,6.900696055183403,Poly-trifluoroethylene
