Young’s Modulus (GPa),Hardness (HV)
3,-3.0420945484658426,Cloisite/Nylon 6
5,-2.2906148068367345,Cloisite/Nylon 6
11,0.9258955970366376,Cloisite/Nylon 6
12,2.132920476488499,Cloisite/Nylon 6
17,2.141806618756763,Cloisite/Nylon 6
3,-2.1475264837889405,barium titanate/Nylon 6
5,-2.1070837269555254,barium titanate/Nylon 6
11,-2.401760637307815,barium titanate/Nylon 6
12,-2.494568285552803,barium titanate/Nylon 6
17,-2.5975537748725346,barium titanate/Nylon 6
3,-5.21161039459957,Lamp black/Nylon 6
5,-5.386250982552584,Lamp black/Nylon 6
11,-5.57127693550551,Lamp black/Nylon 6
12,-5.5859722998571,Lamp black/Nylon 6
17,-5.602473816149332,Lamp black/Nylon 6
3,9.360526484516443,MgO/Nylon 6
5,13.203613431587616,MgO/Nylon 6
11,28.889782419241364,MgO/Nylon 6
12,7.240749835382415,MgO/Nylon 6
17,259.278246118706,MgO/Nylon 6
