Particle Size (nm),Melting Temperature (°C)
5.713528120935787,-1.5671727657580377,Ag/EPDM
11.506066258374323,1.855903073135714,Ag/EPDM
11.840841240432216,-0.913241388977672,Ag/EPDM
17.01569050045687,-6.774343049106769,Ag/EPDM
5.713528120935787,4.250418930942306,Calcium Carbonate/EPDM
11.506066258374323,3.964018758180409,Calcium Carbonate/EPDM
11.840841240432216,3.959914209335029,Calcium Carbonate/EPDM
17.01569050045687,3.843279023100329,Calcium Carbonate/EPDM
5.713528120935787,-0.673182094076753,PAN/EPDM
11.506066258374323,-0.945672455315071,PAN/EPDM
11.840841240432216,-0.9435279348567918,PAN/EPDM
17.01569050045687,-1.0554229786604985,PAN/EPDM
5.713528120935787,-4.824031054057198,graphene platelets/EPDM
11.506066258374323,-3.256096382326958,graphene platelets/EPDM
11.840841240432216,-6.804256288190044,graphene platelets/EPDM
17.01569050045687,-8.71607654882308,graphene platelets/EPDM
