Pore Volume (cm³/g),Permittivity
0,0.31830027363671154,graphite/TGPAP
1,0.33330982348002425,graphite/TGPAP
5,0.5990373368164734,graphite/TGPAP
14,6.44437194537187,graphite/TGPAP
18,0.9939427413662578,graphite/TGPAP
0,3.8107587595670793,Graphene/TGPAP
1,4.414121442694598,Graphene/TGPAP
5,9.411960815620754,Graphene/TGPAP
14,42.923493442234296,Graphene/TGPAP
18,463.36148977072685,Graphene/TGPAP
0,7.540786293601741,MoS2/TGPAP
1,7.329892088253149,MoS2/TGPAP
5,6.984184584113277,MoS2/TGPAP
14,6.730230522671243,MoS2/TGPAP
18,6.720630692267629,MoS2/TGPAP
0,-0.17142263297298554,calcium carbonate/TGPAP
1,-0.1900101937426053,calcium carbonate/TGPAP
5,3.4135326086195183,calcium carbonate/TGPAP
14,16.342951725867835,calcium carbonate/TGPAP
18,58.56770222622314,calcium carbonate/TGPAP
0,-6.897501175340949,SiC powder/TGPAP
1,-6.583057912941498,SiC powder/TGPAP
5,-5.419510125470423,SiC powder/TGPAP
14,-6.031219922637316,SiC powder/TGPAP
18,-2.8128616398697073,SiC powder/TGPAP
