Filler Content (%),Thermal Diffusivity (mm²/s)
0,-6.690008507680617,PHFP
10,-7.729331691227426,PHFP
14,-7.763817308371034,PHFP
0,2.6905657753075714,Poly(methyl acrylate)
10,1.7377185375027266,Poly(methyl acrylate)
14,1.7034773616838121,Poly(methyl acrylate)
0,2.3060151873442694,SAN24
10,7.544783602612608,SAN24
14,105.50982554327706,SAN24
0,7.8678936912977955,Poly(hexafluoro propylene)
10,7.114163557207895,Poly(hexafluoro propylene)
14,7.012263986871163,Poly(hexafluoro propylene)
0,-6.495066345668803,Polychlorotrifluoroethylene
10,-7.035921444817809,Polychlorotrifluoroethylene
14,-7.159771217356654,Polychlorotrifluoroethylene
