Degradation Temperature (°C),Heat Of Crystallization (J/g)
2.144401335406001,-3.011689128138941,barium titanate/Silicone rubber
4.046403193486048,-3.114631708638241,barium titanate/Silicone rubber
17.60829009960106,-3.510614731178315,barium titanate/Silicone rubber
17.614601756532537,-3.5185731502313775,barium titanate/Silicone rubber
17.726189214721852,-3.5109245344218314,barium titanate/Silicone rubber
2.144401335406001,-0.17483992102055268,magnesium oxide/Silicone rubber
4.046403193486048,0.36654202234831157,magnesium oxide/Silicone rubber
17.60829009960106,670.6834011806512,magnesium oxide/Silicone rubber
17.614601756532537,344.9650313529301,magnesium oxide/Silicone rubber
17.726189214721852,48.17330731649168,magnesium oxide/Silicone rubber
2.144401335406001,1.8549738044702062,graphite (as received)/Silicone rubber
4.046403193486048,1.5626045995347733,graphite (as received)/Silicone rubber
17.60829009960106,16.425161094357364,graphite (as received)/Silicone rubber
17.614601756532537,-5.632664169576989,graphite (as received)/Silicone rubber
17.726189214721852,4.534650269036192,graphite (as received)/Silicone rubber
2.144401335406001,-0.5291427627849122,silica/Silicone rubber
4.046403193486048,-0.7225354072856273,silica/Silicone rubber
17.60829009960106,-1.2372947889658412,silica/Silicone rubber
17.614601756532537,-1.2363545828549223,silica/Silicone rubber
17.726189214721852,-1.2368414419873701,silica/Silicone rubber
2.144401335406001,-5.336663410053584,MMT/Silicone rubber
4.046403193486048,-4.220541371400614,MMT/Silicone rubber
17.60829009960106,-14.541309449957547,MMT/Silicone rubber
17.614601756532537,-2.807182569553747,MMT/Silicone rubber
17.726189214721852,0.6108961196395679,MMT/Silicone rubber
