Evaporation Temperature (°C),Shear Strength (MPa)
3.5037877169008946,3.585446018528571,0.82% BaTiO3
8.140806285200672,3.2636888683140977,0.82% BaTiO3
9.333363393709773,3.2316790388798715,0.82% BaTiO3
15.444921990574144,3.030628609649741,0.82% BaTiO3
18.912392994285373,2.9709699840793773,0.82% BaTiO3
1.9135629168833224,-2.506233866133225,0.22% BaTiO3
5.8483333272171105,-2.895675468411127,0.22% BaTiO3
6.90582068987122,-2.97402333052477,0.22% BaTiO3
7.8015802937231165,-3.001129424903411,0.22% BaTiO3
12.842762634515319,-3.1338789893211025,0.22% BaTiO3
3,5.477540452531091,0.14% BaTiO3
6,5.814355797213447,0.14% BaTiO3
7,7.82223667450483,0.14% BaTiO3
16,13.809060060977469,0.14% BaTiO3
17,14.462036627651417,0.14% BaTiO3
4,-0.714397222801983,0.34% BaTiO3
9,-2.559071689879911,0.34% BaTiO3
10,27.237634568728694,0.34% BaTiO3
13,91.60316840215592,0.34% BaTiO3
14,151.45112044585179,0.34% BaTiO3
3,6.0062487258807415,0.88% BaTiO3
10,21.950413910478062,0.88% BaTiO3
14,23.477805123547043,0.88% BaTiO3
18,102.98572966938978,0.88% BaTiO3
19,229.03906193953242,0.88% BaTiO3
