Mixing Time (min),Compression Strength (MPa)
3.897109569697803,6.2533049166215156,0.13% Graphite Nanoplatelets
4.582751310174329,6.103095575493884,0.13% Graphite Nanoplatelets
9.08186828476428,5.8537832532542025,0.13% Graphite Nanoplatelets
10.930705458028315,5.827545785401734,0.13% Graphite Nanoplatelets
12.734920010846892,5.760486596413722,0.13% Graphite Nanoplatelets
14.460789804931071,5.703456556616679,0.13% Graphite Nanoplatelets
0.09834851304074244,-0.9013803316052771,0.68% Graphite Nanoplatelets
15.17426084119319,-0.3896187776201394,0.68% Graphite Nanoplatelets
18.1595053858711,6.5841590521478786,0.68% Graphite Nanoplatelets
18.273332797812902,2.4352097068791254,0.68% Graphite Nanoplatelets
18.895049719345213,-7.473813385706113,0.68% Graphite Nanoplatelets
19.838715182837145,12.711058935664761,0.68% Graphite Nanoplatelets
3.394397545080967,-0.66020164074581,0.17% Graphite Nanoplatelets
3.599667860488509,-0.740822641036735,0.17% Graphite Nanoplatelets
6.352876414816555,-0.8260411561833665,0.17% Graphite Nanoplatelets
7.224174383100797,-0.8880044141317909,0.17% Graphite Nanoplatelets
9.885767343899111,-0.943112832135205,0.17% Graphite Nanoplatelets
18.61518954508962,-0.9945606147672449,0.17% Graphite Nanoplatelets
3.5351336397361455,-1.8430455404255695,0.54% Graphite Nanoplatelets
4.284891804904576,-1.9021704949704645,0.54% Graphite Nanoplatelets
8.226074113393542,-2.123827973975004,0.54% Graphite Nanoplatelets
14.382471189941485,-2.345819459690066,0.54% Graphite Nanoplatelets
15.571237220833943,-2.350785376794051,0.54% Graphite Nanoplatelets
17.240570228333418,-2.386773878532624,0.54% Graphite Nanoplatelets
0,6.773281758839429,0.62% Graphite Nanoplatelets
1,7.2743697838401555,0.62% Graphite Nanoplatelets
5,7.0264668126284064,0.62% Graphite Nanoplatelets
6,7.460303617412404,0.62% Graphite Nanoplatelets
13,12.358292107034663,0.62% Graphite Nanoplatelets
16,10.969613212076787,0.62% Graphite Nanoplatelets
