Ion Beam Dose (Gy),Remanence (A/m)
0.14501191326550478,-4.744976284972608,0.56% Acetylene black
1.9290794612356765,-4.835500402190111,0.56% Acetylene black
2.1579162463331936,-5.203544054156748,0.56% Acetylene black
14.825638767722735,-5.62698332983556,0.56% Acetylene black
0.14501191326550478,5.083338936368364,0.43% Acetylene black
1.9290794612356765,5.526847275468547,0.43% Acetylene black
2.1579162463331936,5.04287354411324,0.43% Acetylene black
14.825638767722735,12.774808643702197,0.43% Acetylene black
0.14501191326550478,5.592603094133188,0.48% Acetylene black
1.9290794612356765,6.4529324024361845,0.48% Acetylene black
2.1579162463331936,6.695802708344738,0.48% Acetylene black
14.825638767722735,176.07747659881832,0.48% Acetylene black
