wt% (%),Bulk Modulus (GPa)
3.2553371689353128,-0.5174386352998246,Poly(vinyl chloride)
5.8187725697552235,3.6260232574736175,Poly(vinyl chloride)
7.437972901586769,6.611040776348661,Poly(vinyl chloride)
9.850176008177783,14.276748001590661,Poly(vinyl chloride)
15.369385045915136,141.93468688962565,Poly(vinyl chloride)
3.2553371689353128,1.1056571914233415,Poly(vinyl pyrrolidone)
5.8187725697552235,-0.5783795477760799,Poly(vinyl pyrrolidone)
7.437972901586769,1.4519186039519956,Poly(vinyl pyrrolidone)
9.850176008177783,0.6827038271717765,Poly(vinyl pyrrolidone)
15.369385045915136,5.984502955557204,Poly(vinyl pyrrolidone)
3.2553371689353128,-6.554074960582017,PVB
5.8187725697552235,-6.701495273352224,PVB
7.437972901586769,-6.743473380621686,PVB
9.850176008177783,-6.889393204305905,PVB
15.369385045915136,-7.02921483850528,PVB
